expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,local_transcript_file
Alex Berman,3,Alex Berman,1CDZ6bjyYHE,Kill Any Cold Email Objection Before It Hits (Here's How),https://www.youtube.com/watch?v=1CDZ6bjyYHE,128.0,ok,2897,research/youtube-transcripts/alex-berman/3-1CDZ6bjyYHE-Kill Any Cold Email Objection Before It Hits (Here's How).txt
Alex Berman,4,Alex Berman,krkfL2WuO2g,"Saving a $3,500,000 Agency for a Stranger in 51 Mins",https://www.youtube.com/watch?v=krkfL2WuO2g,143.0,ok,3205,"research/youtube-transcripts/alex-berman/4-krkfL2WuO2g-Saving a $3,500,000 Agency for a Stranger in 51 Mins.txt"
Alex Berman,5,Alex Berman,6CyZzqYzg4Y,How to Get Clients So Fast It Feels ILLEGAL,https://www.youtube.com/watch?v=6CyZzqYzg4Y,165.0,ok,3568,research/youtube-transcripts/alex-berman/5-6CyZzqYzg4Y-How to Get Clients So Fast It Feels ILLEGAL.txt
Alex Berman,6,Alex Berman,FwIZEX-CjQg,Why I'll NEVER Hire a Sales Rep Again Without This,https://www.youtube.com/watch?v=FwIZEX-CjQg,251.0,ok,5658,research/youtube-transcripts/alex-berman/6-FwIZEX-CjQg-Why I'll NEVER Hire a Sales Rep Again Without This.txt
Alex Berman,7,Alex Berman,aaa4QYcB1Xc,Why Hard-Working Closers Stay Broke,https://www.youtube.com/watch?v=aaa4QYcB1Xc,165.0,ok,3740,research/youtube-transcripts/alex-berman/7-aaa4QYcB1Xc-Why Hard-Working Closers Stay Broke.txt
Collin Stewart,1,Predictable Revenue,Km9_roPKpHY,How to Pivot Your SaaS Startup for Success with Arvind Ramasami | Predictable Revenue Podcast Replay,https://www.youtube.com/watch?v=Km9_roPKpHY,936.0,ok,16180,research/youtube-transcripts/collin-stewart/1-Km9_roPKpHY-How to Pivot Your SaaS Startup for Success with Arvind Ramasami Predictable Revenue Podcast Replay.txt
Collin Stewart,2,Predictable Revenue,PoMWVC7a67I,Understanding PMF in Data Security | Predictable Revenue Founder Tips,https://www.youtube.com/watch?v=PoMWVC7a67I,182.0,ok,3443,research/youtube-transcripts/collin-stewart/2-PoMWVC7a67I-Understanding PMF in Data Security Predictable Revenue Founder Tips.txt
Collin Stewart,3,Predictable Revenue,51Fi4W4Gw9g,Validating Tech Early: A Data-Driven Approach | Predictable Revenue Founder Tips,https://www.youtube.com/watch?v=51Fi4W4Gw9g,293.0,ok,5023,research/youtube-transcripts/collin-stewart/3-51Fi4W4Gw9g-Validating Tech Early A Data-Driven Approach Predictable Revenue Founder Tips.txt
Collin Stewart,4,Predictable Revenue,8JKq6ZzGNX0,Understanding Early Adopters in Tech | Predictable Revenue Founder Tips,https://www.youtube.com/watch?v=8JKq6ZzGNX0,113.0,ok,2240,research/youtube-transcripts/collin-stewart/4-8JKq6ZzGNX0-Understanding Early Adopters in Tech Predictable Revenue Founder Tips.txt
Collin Stewart,5,Predictable Revenue,d0QrirtMT-k,Product-Market Fit in AI Security with Gidi Cohen | Predictable Revenue Podcast,https://www.youtube.com/watch?v=d0QrirtMT-k,2793.0,ok,53098,research/youtube-transcripts/collin-stewart/5-d0QrirtMT-k-Product-Market Fit in AI Security with Gidi Cohen Predictable Revenue Podcast.txt
Collin Stewart,6,Predictable Revenue,FuIA88bbedI,From Business to Writing | Predictable Revenue Founder Tips,https://www.youtube.com/watch?v=FuIA88bbedI,233.0,ok,4073,research/youtube-transcripts/collin-stewart/6-FuIA88bbedI-From Business to Writing Predictable Revenue Founder Tips.txt
Collin Stewart,7,Predictable Revenue,LYWpRQRgJAI,The Four Pillars of Sales Success | Predictable Revenue Sales Tips,https://www.youtube.com/watch?v=LYWpRQRgJAI,191.0,ok,3255,research/youtube-transcripts/collin-stewart/7-LYWpRQRgJAI-The Four Pillars of Sales Success Predictable Revenue Sales Tips.txt
Kyle Vamvouris,1,Vouris,hAD4YnT8XlI,Build an AI Ready Knowledge System Your Team Can Share,https://www.youtube.com/watch?v=hAD4YnT8XlI,3030.0,ok,51688,research/youtube-transcripts/kyle-vamvouris/1-hAD4YnT8XlI-Build an AI Ready Knowledge System Your Team Can Share.txt
Kyle Vamvouris,2,Vouris,l_Cq1-5LyP8,Everything I Know About Building AI Agents That Actually Do Useful Work,https://www.youtube.com/watch?v=l_Cq1-5LyP8,3397.0,ok,60336,research/youtube-transcripts/kyle-vamvouris/2-l_Cq1-5LyP8-Everything I Know About Building AI Agents That Actually Do Useful Work.txt
Kyle Vamvouris,3,Vouris,MhjWcmDtHEc,Build a self learning marketing AI Agent ( I used this to get 2.5M views in 30 days),https://www.youtube.com/watch?v=MhjWcmDtHEc,2588.0,ok,44795,research/youtube-transcripts/kyle-vamvouris/3-MhjWcmDtHEc-Build a self learning marketing AI Agent ( I used this to get 2.5M views in 30 days).txt
Kyle Vamvouris,4,Vouris,ZMg133guig0,The Two-Way Content System: Feed Sales What They Need (And Tell Marketing What to Build Next),https://www.youtube.com/watch?v=ZMg133guig0,1835.0,ok,33888,research/youtube-transcripts/kyle-vamvouris/4-ZMg133guig0-The Two-Way Content System Feed Sales What They Need (And Tell Marketing What to Build Next).txt
Kyle Vamvouris,5,Vouris,WbpXMtqRMeo,Build an AI SDR in Under an Hour,https://www.youtube.com/watch?v=WbpXMtqRMeo,2251.0,ok,39367,research/youtube-transcripts/kyle-vamvouris/5-WbpXMtqRMeo-Build an AI SDR in Under an Hour.txt
Kyle Vamvouris,6,Vouris,x_JWm0TdhN0,How to write AI Prompts that 10x your output,https://www.youtube.com/watch?v=x_JWm0TdhN0,2917.0,ok,47783,research/youtube-transcripts/kyle-vamvouris/6-x_JWm0TdhN0-How to write AI Prompts that 10x your output.txt
Kyle Vamvouris,7,Vouris,LHz0UL1R3XE,Create A Sales Playbook That Powers Sales Reps And AI Agents,https://www.youtube.com/watch?v=LHz0UL1R3XE,3002.0,ok,48998,research/youtube-transcripts/kyle-vamvouris/7-LHz0UL1R3XE-Create A Sales Playbook That Powers Sales Reps And AI Agents.txt
Richard Harris,1,Richard Harris,7vm5t6LGpbg,"Stop putting Surf & Sales on your bucket list. 

Join us this November surfandsales.com 

Most sales",https://www.youtube.com/watch?v=7vm5t6LGpbg,39.0,ok,756,research/youtube-transcripts/richard-harris/1-7vm5t6LGpbg-Stop putting Surf & Sales on your bucket list. Join us this November surfandsales.com Most sales.txt
Richard Harris,2,Richard Harris,b9mtQvWITBI,Mastering Sales Discovery Skills - Surface Pains vs. Core Pains,https://www.youtube.com/watch?v=b9mtQvWITBI,117.0,ok,1754,research/youtube-transcripts/richard-harris/2-b9mtQvWITBI-Mastering Sales Discovery Skills - Surface Pains vs. Core Pains.txt
Richard Harris,3,Richard Harris,qFNNB8JRdhk,The Secret of KPIs,https://www.youtube.com/watch?v=qFNNB8JRdhk,62.0,ok,984,research/youtube-transcripts/richard-harris/3-qFNNB8JRdhk-The Secret of KPIs.txt
Richard Harris,4,Richard Harris,e_uHTxx3fdA,Top tip for client's long-term relationships,https://www.youtube.com/watch?v=e_uHTxx3fdA,86.0,ok,1387,research/youtube-transcripts/richard-harris/4-e_uHTxx3fdA-Top tip for client's long-term relationships.txt
Richard Harris,5,Richard Harris,WqF4KJIYfsA,It's ok to suck at your job!,https://www.youtube.com/watch?v=WqF4KJIYfsA,63.0,ok,964,research/youtube-transcripts/richard-harris/5-WqF4KJIYfsA-It's ok to suck at your job!.txt
Richard Harris,6,Richard Harris,HVGUij54Jk8,The secret of success in a down market,https://www.youtube.com/watch?v=HVGUij54Jk8,104.0,ok,1959,research/youtube-transcripts/richard-harris/6-HVGUij54Jk8-The secret of success in a down market.txt
Richard Harris,7,Richard Harris,YmQZB1xFb0s,Sales Training,https://www.youtube.com/watch?v=YmQZB1xFb0s,62.0,ok,1118,research/youtube-transcripts/richard-harris/7-YmQZB1xFb0s-Sales Training.txt
Marcus Chan,1,Marcus Chan,yvD_Z1s8JPM,Your Best Reps Keep Quitting. And It's Your Fault.,https://www.youtube.com/watch?v=yvD_Z1s8JPM,2880.0,ok,45036,research/youtube-transcripts/marcus-chan/1-yvD_Z1s8JPM-Your Best Reps Keep Quitting. And It's Your Fault..txt
Marcus Chan,2,Marcus Chan,3oyed3Nw7KE,You Sell Who You See.,https://www.youtube.com/watch?v=3oyed3Nw7KE,160.0,ok,2533,research/youtube-transcripts/marcus-chan/2-3oyed3Nw7KE-You Sell Who You See..txt
Marcus Chan,3,Marcus Chan,8izDzVyBpjc,She Wanted 1 $100K+ Deal This Year. She Closed 3 in under 90 Days.,https://www.youtube.com/watch?v=8izDzVyBpjc,1156.0,ok,20155,research/youtube-transcripts/marcus-chan/3-8izDzVyBpjc-She Wanted 1 $100K+ Deal This Year. She Closed 3 in under 90 Days..txt
Marcus Chan,4,Marcus Chan,JS4Yte-sylk,How This Sales Team Lost $35M Despite 80% Win Rate,https://www.youtube.com/watch?v=JS4Yte-sylk,3852.0,ok,69541,research/youtube-transcripts/marcus-chan/4-JS4Yte-sylk-How This Sales Team Lost $35M Despite 80% Win Rate.txt
Marcus Chan,5,Marcus Chan,Rv2HW56ynbM,This AI Writes My Content Every Monday at 5AM,https://www.youtube.com/watch?v=Rv2HW56ynbM,200.0,ok,3488,research/youtube-transcripts/marcus-chan/5-Rv2HW56ynbM-This AI Writes My Content Every Monday at 5AM.txt
Marcus Chan,6,Marcus Chan,WLtM6XUr9Wg,85% of Sales Training Dies by Day 120. The 15% That Sticks Doesn't Use Training.,https://www.youtube.com/watch?v=WLtM6XUr9Wg,451.0,ok,6060,research/youtube-transcripts/marcus-chan/6-WLtM6XUr9Wg-85% of Sales Training Dies by Day 120. The 15% That Sticks Doesn't Use Training..txt
Marcus Chan,7,Marcus Chan,EiJ8olATjoE,"1,000 Hires Taught Him The 1 Trait That Predicts a Top 1% Rep",https://www.youtube.com/watch?v=EiJ8olATjoE,4666.0,ok,83326,"research/youtube-transcripts/marcus-chan/7-EiJ8olATjoE-1,000 Hires Taught Him The 1 Trait That Predicts a Top 1% Rep.txt"
